id,project,branch,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,topic,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fironic-ui~master~I1af47b4d569c4aefd134dbe60f8700573fd05384,openstack/ironic-ui,master,I1af47b4d569c4aefd134dbe60f8700573fd05384,Imported Translations from Zanata,MERGED,2018-02-26 06:24:42.000000000,2018-03-09 11:00:26.000000000,2018-03-09 11:00:26.000000000,915,59,0,547897,f1f11d53d7eea079077873b060bee735ea9225d8,zanata/translations,12,2,3,15,11131,OpenStack Proposal Bot,proposal-bot,"Imported Translations from Zanata

For more information about this automatic import see:
https://docs.openstack.org/i18n/latest/reviewing-translation-import.html

Change-Id: I1af47b4d569c4aefd134dbe60f8700573fd05384
"
openstack%2Fpython-tripleoclient~master~I0418883557113b5a67cfeaf181614dc5fe32ca94,openstack/python-tripleoclient,master,I0418883557113b5a67cfeaf181614dc5fe32ca94,Add --roles and --nodes params to overcloud upgrade run cli,MERGED,2018-03-06 14:49:12.000000000,2018-03-09 10:58:53.000000000,2018-03-08 17:55:25.000000000,123,24,12,550099,b84e4e13d5bc058cd1f6eab3ca962ee6ccd731a0,major-upgrade-cli-opts,32,8,4,3,8449,Marios Andreou,marios,"Add --roles and --nodes params to overcloud upgrade run cli

This adds a required, mutually exclusive argument group for
--roles and --nodes. --roles replaces the existing --role.

This shifts the semantics of upgrading 'one at a time' (compute)
vs 'all together' (controller) to the operator. You can either
specify roles or nodes but not both. Using nodes for contollers
is not supported but we can only warn.

  openstack overcloud upgrade run --roles Controller
  openstack overcloud upgrade run --nodes overcloud-compute-0 overcloud-compute-1
  #for the really ambitious
  openstack overcloud upgrade run --roles Controller Networker

Change-Id: I0418883557113b5a67cfeaf181614dc5fe32ca94
"
openstack%2Ftacker~master~Ice2f0f03f7a90f4fefdee751283ff26b9c037d87,openstack/tacker,master,Ice2f0f03f7a90f4fefdee751283ff26b9c037d87,Support creating VNFFG with no flow-classifier,MERGED,2018-01-28 10:20:28.000000000,2018-03-09 10:58:50.000000000,2018-02-28 09:19:09.000000000,147,45,17,538586,a11d9a194a696911c4778a84ddf000db26dfa3bf,bug/1745818,51,7,8,8,26222,Cong Phuoc Hoang,hoangphuoc,"Support creating VNFFG with no flow-classifier

According to SFC RFC standard, the chains should be decoupled
from classifiers.

In Networking-sfc the chains and classifiers are completely
decoupled. This patch lets user can do it by allow creating
VNFFG with no flow-classifier.

User can use ""tosca-vnffgd-no-classifier-sample.yaml"" to create
VNFFG with no flow-classifier. User also have the ability to
add flow-classifiers through updating VNFFG with
""tosca-vnffgd-sample.yaml"" in vnffgd tosca templates folder.

This patch only support Forwarding path with type
""tosca.nodes.nfv.FP.TackerV2"". Tacker also support altering the
direction of the traffic in forwarding path, update new
forwarding path, add, remove and update flow-classifers though
updating VNFFG.

For more information: https://review.openstack.org/#/c/531817

Change-Id: Ice2f0f03f7a90f4fefdee751283ff26b9c037d87
Closes-Bug: #1745818
"
openstack%2Faodh~master~Ie52f0a80585bcede3a325c35329e74f88aa74725,openstack/aodh,master,Ie52f0a80585bcede3a325c35329e74f88aa74725,Fix the incorrect reference links,ABANDONED,2018-03-09 10:50:37.000000000,2018-03-09 10:53:11.000000000,,2,2,0,551250,373f3c650b94caa0c443a5974be621c13293ec79,fix-url,2,0,1,2,17130,melissaml,malei,"Fix the incorrect reference links

TrivialFix
[1] is the installation guide for OpenStack components, obviously,
we need [1] in the docs.

[1] https://docs.openstack.org/latest/install/

Change-Id: Ie52f0a80585bcede3a325c35329e74f88aa74725
"
openstack%2Fwatcher~master~I4014fb7a76ce74e1426378183ecef0308bc56ce7,openstack/watcher,master,I4014fb7a76ce74e1426378183ecef0308bc56ce7,Add parameter aggregation_method for basic_consolidation,MERGED,2018-03-09 09:51:02.000000000,2018-03-09 10:52:08.000000000,2018-03-09 10:52:07.000000000,30,2,0,551231,5c81f1bd7fd0edee79e5f33751dd8299ebed6bbf,basic_cons_aggregation_method,6,2,1,1,19055,Alexander Chadin,joker946,"Add parameter aggregation_method for basic_consolidation

This parameter is required to fix tempest multinode test.

Change-Id: I4014fb7a76ce74e1426378183ecef0308bc56ce7
"
openstack%2Fnova~master~I45a81c8d7d64981d5dc6b61435489b62738f6f10,openstack/nova,master,I45a81c8d7d64981d5dc6b61435489b62738f6f10,[WIP] XenAPI: Fix vm live migration problem with volume,ABANDONED,2018-01-09 09:21:28.000000000,2018-03-09 10:38:24.000000000,,71,44,9,532118,e91a5ac0237a1396edfdf4ef878eac88cb34693c,xenapi-live-migration,12,9,1,2,17922,Huan Xie,huan,"[WIP] XenAPI: Fix vm live migration problem with volume

When VM with volume do live migration, it will always fail with
exception VDI_NOT_IN_MAP, this is because XenServer xapi has
restricted check on the vdi:sr mapping. This patch is to provide
correct mapping information.

Change-Id: I45a81c8d7d64981d5dc6b61435489b62738f6f10
Close-Bugs: 1704071
"
openstack%2Foctavia~master~I7ce0ad80a5d5dd43e6967f018217335207c58a4f,openstack/octavia,master,I7ce0ad80a5d5dd43e6967f018217335207c58a4f,Updated from global requirements,MERGED,2018-03-04 10:16:31.000000000,2018-03-09 10:30:13.000000000,2018-03-09 10:30:13.000000000,2,2,0,549551,7152fc269c301a8be52ae6b9681482fa8589eaff,openstack/requirements,23,5,2,1,11131,OpenStack Proposal Bot,proposal-bot,"Updated from global requirements

Change-Id: I7ce0ad80a5d5dd43e6967f018217335207c58a4f
"
openstack%2Fglance-specs~master~Ice1ab9657e236d969df50016a3b47a893e6aff0c,openstack/glance-specs,master,Ice1ab9657e236d969df50016a3b47a893e6aff0c,Introduce db sync check feature,MERGED,2018-02-20 09:57:28.000000000,2018-03-09 10:28:14.000000000,2018-03-09 10:28:14.000000000,32,26,0,546096,f8736b39af7c4bbd7022f2eb398f0a2344729ad9,bp/db-check,12,4,2,4,20182,Bhagyashri Shewale,bhagyashris,"Introduce db sync check feature

Lite-spec for a dry-run option for db upgrades in glance-manage.

This spec is moved from /specs/untargeted/glance/lite-spec-db-sync-check.rst
to /specs/queens/implemented/glance/lite-spec-db-sync-check.rst because it was
implemented by change I1e0b02d615690f65a17b4ccfe4e4a72cc9e15ada

Change-Id: Ice1ab9657e236d969df50016a3b47a893e6aff0c
"
openstack%2Fcharm-deployment-guide~master~I256a9ea2de2e152d1f2ede8312365e9fc86642da,openstack/charm-deployment-guide,master,I256a9ea2de2e152d1f2ede8312365e9fc86642da,Warn unattended-upgrades and co-located charms,MERGED,2018-03-09 09:03:00.000000000,2018-03-09 10:26:20.000000000,2018-03-09 10:26:19.000000000,12,0,6,551220,98e4a6558f01d59106d5fcc3aa5fca4aa9bc02ff,hulk-smash-warn,16,5,4,1,12549,gnuoy,gnuoy,"Warn unattended-upgrades and co-located charms

Add warning to upgrade guide concerning unattended-upgrades in
environments that have co-located charms.

Change-Id: I256a9ea2de2e152d1f2ede8312365e9fc86642da
"
openstack%2Ftripleo-heat-templates~master~Iab481f67cf8a844b47d791130a428a5ca06bb454,openstack/tripleo-heat-templates,master,Iab481f67cf8a844b47d791130a428a5ca06bb454,Configure deploy logs for Ironic,MERGED,2018-03-08 12:20:20.000000000,2018-03-09 10:18:16.000000000,2018-03-08 21:42:43.000000000,32,0,0,550809,d347636ad5068132960bd793cba37ac1058f1153,containerized-undercloud,9,4,1,1,10239,Dmitry Tantsur,dtantsur,"Configure deploy logs for Ironic

This change allows configuring whether and how Ironic stores ramdisk
logs from the deployment process. By default, logs are stored locally
in /var/log/ironic/deploy (this matches the upstream defaults).
The logs are stored on every deployment if debug is enabled, otherwise
only on failed deployments.

Change-Id: Iab481f67cf8a844b47d791130a428a5ca06bb454
"
