id,project,branch,topic,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Fpuppet-nova~master~I7ba278ac87f8b157b1c9874efb76c3cfca829a35,openstack/puppet-nova,master,remove-rpc_backend,I7ba278ac87f8b157b1c9874efb76c3cfca829a35,Remove rpc_backend check for amqp,MERGED,2017-02-28 15:17:53.000000000,2017-03-03 06:58:33.000000000,2017-03-03 02:15:15.000000000,0,2,0,439008,ffe53d3bf3c83769102db616880e3d2cbc06470d,50,3,2,1,14985,Alex Schultz,mwhahaha,"Remove rpc_backend check for amqp

I7ccd995ef01c2d54427684718adba054260fdd52 removed the rpc_backend
declaration for amqp so we need to stop checking for it in the unit
tests.

Change-Id: I7ba278ac87f8b157b1c9874efb76c3cfca829a35
"
openstack%2Fpuppet-mistral~master~I1d83bd7270eeebb27fa1c3794661f8a7fb9d91e7,openstack/puppet-mistral,master,add_messaging_notifications_parameters,I1d83bd7270eeebb27fa1c3794661f8a7fb9d91e7,Add notification_driver and notification_topics options,MERGED,2017-03-01 03:07:11.000000000,2017-03-03 06:55:41.000000000,2017-03-03 06:00:26.000000000,28,1,0,439295,86295465fa777b837c1f627261c6fcd4748ecf81,21,4,1,3,9414,zhongshengping,ZhongShengping,"Add notification_driver and notification_topics options

Add notification_driver to configure driver or drivers to handle
sending notifications.
Add notification_topics to configure AMQP topic used for OpenStack
notifications.

Change-Id: I1d83bd7270eeebb27fa1c3794661f8a7fb9d91e7
"
openstack%2Fdragonflow~master~I7028e12ede3d83e046b284c601202594d111152c,openstack/dragonflow,master,l3_proactive_ut,I7028e12ede3d83e046b284c601202594d111152c,Add some unit test cases for l3 proactive app,MERGED,2017-02-18 08:38:01.000000000,2017-03-03 06:54:01.000000000,2017-03-03 06:54:01.000000000,39,0,7,435672,bd1ce6e8aff25eb46662b97a471de20d68fc83a6,27,7,6,1,21007,yuan wei,yuanwei,"Add some unit test cases for l3 proactive app

l3 proactive app lack of unit test cases about add and remove ports.
This patch will add a unit test case about it.
The cases about the process of routes when a port was added or
removed will be added in another patch:
https://review.openstack.org/#/c/426601/

Change-Id: I7028e12ede3d83e046b284c601202594d111152c
"
openstack%2Foslo.messaging~master~I2b6c6dfc4ca5cf614319524bc1dad30b6b0a052c,openstack/oslo.messaging,master,bug/1668848,I2b6c6dfc4ca5cf614319524bc1dad30b6b0a052c,Update hacking and pbr version to fix pep8 job,ABANDONED,2017-03-02 09:46:05.000000000,2017-03-03 06:47:18.000000000,,6,6,0,440266,51adaf299a0bd5aeb5c1072f63b080f8d5c474b6,10,5,3,3,10873,Juan Antonio Osorio Robles,ejuaoso,"Update hacking and pbr version to fix pep8 job

update [test-]requirements.

Partial-Bug: #1668848
Change-Id: I2b6c6dfc4ca5cf614319524bc1dad30b6b0a052c
"
openstack%2Fsolum~master~I4eaedce7f2a6097b5d1e3c8daf052556292d8359,openstack/solum,master,openstack/requirements,I4eaedce7f2a6097b5d1e3c8daf052556292d8359,Updated from global requirements,MERGED,2017-03-02 05:07:58.000000000,2017-03-03 06:43:19.000000000,2017-03-03 06:43:19.000000000,4,4,0,440115,41e6f63721d71e453399e8a787ec89f4f2854dda,14,3,5,3,11131,OpenStack Proposal Bot,proposal-bot,"Updated from global requirements

Change-Id: I4eaedce7f2a6097b5d1e3c8daf052556292d8359
"
openstack%2Ftricircle~master~I805565843c9228b729e242c3f2fddf14b6a3130e,openstack/tricircle,master,bug/1668848,I805565843c9228b729e242c3f2fddf14b6a3130e,[Fix gate]Update to a newer hacking library,MERGED,2017-03-02 09:34:35.000000000,2017-03-03 06:37:10.000000000,2017-03-03 06:37:10.000000000,1,1,0,440257,fc8be03baea25274fe1341685f036d0bc4336bd3,11,4,2,1,12404,Rico Lin,rico.lin,"[Fix gate]Update to a newer hacking library

1. What is the problem?
The older hacking library has a cap on pbr <2.0, which is causing
issues with the recent 2.0.0 release of pbr

2. What is the solution for the problem?
Hacking isn't kept in sync via the usual proposal bot updates so
update it manually to fix the pep8 gate.

3. What the features need to be implemented to the Tricircle to
   realize the solution?
None

Partial-Bug: #1668848

Change-Id: I805565843c9228b729e242c3f2fddf14b6a3130e
"
openstack%2Fpython-masakariclient~master~Ic856cc4a75cb54b14b6d0e79d1aa68e45494b1d7,openstack/python-masakariclient,master,bug/1668848,Ic856cc4a75cb54b14b6d0e79d1aa68e45494b1d7,[Fix gate]Update test requirement,MERGED,2017-03-02 14:24:37.000000000,2017-03-03 06:35:15.000000000,2017-03-03 06:35:15.000000000,1,1,0,440592,bbb9b774e6d9e0d0720bb8301cb4bcb7594d608d,10,3,1,1,12404,Rico Lin,rico.lin,"[Fix gate]Update test requirement

Since pbr already landed and the old version of hacking seems not
work very well with pbr>=2, we should update it to match global
requirement.
Partial-Bug: #1668848

Change-Id: Ic856cc4a75cb54b14b6d0e79d1aa68e45494b1d7
"
openstack%2Fmasakari-monitors~master~I1fb98e3ab101d2a3c331dcb416399f76b6b72295,openstack/masakari-monitors,master,fix_format_of_readme,I1fb98e3ab101d2a3c331dcb416399f76b6b72295,Fix syntax errors of README.rst,MERGED,2017-02-24 06:03:37.000000000,2017-03-03 06:33:31.000000000,2017-03-03 06:33:31.000000000,21,25,20,437799,ea02f744c216fc7fc50a38298e0ea6f6480a5491,13,4,3,1,23226,takahara.kengo,takahara.kengo,"Fix syntax errors of README.rst

README.rst had syntax errors.
This patch modified README.rst to the correct ReST format.

Change-Id: I1fb98e3ab101d2a3c331dcb416399f76b6b72295
"
openstack%2Foslo.policy~master~I5ce59cfc43b51e5cc27f16844c5375a22825ad62,openstack/oslo.policy,master,openstack/requirements,I5ce59cfc43b51e5cc27f16844c5375a22825ad62,Updated from global requirements,MERGED,2017-03-02 05:20:31.000000000,2017-03-03 06:15:23.000000000,2017-03-03 06:15:23.000000000,3,3,0,440139,3c3261c072390a81c33641ce5f8ee79970c040dc,15,3,3,3,11131,OpenStack Proposal Bot,proposal-bot,"Updated from global requirements

Change-Id: I5ce59cfc43b51e5cc27f16844c5375a22825ad62
"
openstack%2Fsolum-dashboard~master~I47143bc636fc01159bd642662fa5b5c5df847f00,openstack/solum-dashboard,master,openstack/requirements,I47143bc636fc01159bd642662fa5b5c5df847f00,Updated from global requirements,MERGED,2017-03-02 17:54:10.000000000,2017-03-03 06:13:04.000000000,2017-03-03 06:13:04.000000000,1,1,0,440741,6318d5dca7c5b8cad5a5ce1961d08560cbf6bbbd,6,2,1,1,11131,OpenStack Proposal Bot,proposal-bot,"Updated from global requirements

Change-Id: I47143bc636fc01159bd642662fa5b5c5df847f00
"
